,Cluster
0,1
1,3
2,3
3,3
4,3
5,0
6,4
7,3
8,3
9,1
10,0
11,1
12,2
13,3
14,1
15,2
16,1
17,3
18,0
19,2
20,0
21,0
22,1
23,3
24,4
25,2
26,1
27,3
28,3
29,2
30,4
31,0
32,2
33,0
34,1
35,1
36,2
37,0
38,3
39,0
40,4
41,2
42,4
43,1
44,3
45,2
46,1
47,4
48,3
49,1
50,3
51,2
52,0
53,1
54,4
55,2
56,1
57,2
58,0
59,4
60,2
61,4
62,2
63,4
64,1
65,4
66,3
67,4
68,3
69,4
70,0
71,3
72,3
73,0
74,2
75,4
76,4
77,4
78,2
79,1
80,4
81,2
82,1
83,2
84,0
85,2
86,4
87,2
88,4
89,0
90,2
91,0
92,4
93,3
94,4
95,1
96,2
97,2
98,3
99,4
100,0
101,4
102,0
103,2
104,4
105,3
106,1
107,2
108,2
109,0
110,2
111,0
112,2
113,2
114,2
115,2
116,0
117,3
118,3
119,3
120,3
121,1
122,0
123,0
124,1
125,1
126,1
127,4
128,2
129,1
130,1
131,2
132,1
133,0
134,2
135,3
136,4
137,0
138,0
139,0
140,3
141,1
142,1
143,3
144,2
145,0
146,3
147,0
148,3
149,3
150,1
151,3
152,4
153,4
154,1
155,0
156,3
157,3
158,1
159,1
160,3
161,2
162,0
163,3
164,3
165,3
166,2
167,3
168,3
169,2
170,2
171,2
172,2
173,1
174,2
175,1
176,1
177,0
178,3
179,1
180,1
181,3
182,0
183,2
184,0
185,1
186,4
187,4
188,2
189,4
190,2
191,2
192,4
193,3
194,0
195,3
196,0
197,1
198,1
199,4
200,4
201,3
202,3
203,4
204,2
205,4
206,3
207,2
208,4
209,2
210,3
211,4
212,0
213,4
214,2
215,2
216,1
217,1
218,3
219,0
220,0
221,3
222,1
223,3
224,2
225,0
226,3
227,1
228,3
229,0
230,2
231,0
232,1
233,4
234,2
235,2
236,3
237,4
238,0
239,1
240,0
241,4
242,2
243,2
244,4
245,3
246,1
247,4
248,4
249,2
250,4
251,0
252,0
253,3
254,0
255,2
256,0
257,4
258,2
259,1
260,4
261,1
262,1
263,3
264,4
265,0
266,0
267,3
268,4
269,2
270,0
271,4
272,0
273,2
274,2
275,2
276,3
277,0
278,2
279,0
280,4
281,0
282,2
283,2
284,3
285,1
286,0
287,2
288,1
289,3
290,1
291,2
292,0
293,4
294,0
295,1
296,4
297,2
298,3
299,0
300,0
301,3
302,4
303,4
304,2
305,2
306,1
307,1
308,3
309,4
310,2
311,1
312,2
313,4
314,0
315,4
316,2
317,4
318,2
319,0
320,2
321,1
322,2
323,1
324,1
325,4
326,0
327,0
328,1
329,1
330,1
331,0
332,1
333,0
334,0
335,0
336,2
337,3
338,0
339,3
340,3
341,2
342,2
343,1
344,3
345,2
346,1
347,0
348,3
349,0
350,2
351,1
352,3
353,0
354,2
355,3
356,1
357,1
358,1
359,2
360,4
361,3
362,4
363,0
364,3
365,1
366,3
367,1
368,3
369,3
370,2
371,2
372,0
373,2
374,1
375,1
376,2
377,0
378,4
379,3
380,3
381,4
382,2
383,3
384,2
385,3
386,2
387,4
388,3
389,4
390,1
391,0
392,2
393,3
394,1
395,3
396,1
397,4
398,1
399,4
400,0
401,2
402,2
403,3
404,3
405,4
406,1
407,4
408,2
409,4
410,2
411,0
412,1
413,0
414,3
415,0
416,1
417,4
418,4
419,2
420,2
421,0
422,2
423,4
424,2
425,2
426,0
427,4
428,0
429,4
430,1
431,3
432,2
433,2
434,1
435,3
436,2
437,1
438,3
439,2
440,2
441,3
442,3
443,4
444,1
445,1
446,2
447,0
448,0
449,2
450,1
451,0
452,4
453,2
454,4
455,1
456,2
457,4
458,3
459,0
460,3
461,1
462,4
463,2
464,4
465,0
466,0
467,1
468,3
469,3
470,4
471,3
472,0
473,0
474,2
475,2
476,0
477,3
478,3
479,1
480,2
481,4
482,4
483,1
484,4
485,0
486,2
487,3
488,0
489,4
490,2
491,2
492,0
493,2
494,0
495,1
496,1
497,2
498,1
499,1
500,4
501,2
502,1
503,3
504,2
505,0
506,3
507,4
508,4
509,1
510,4
511,1
512,3
513,4
514,0
515,3
516,4
517,1
518,3
519,0
520,2
521,4
522,1
523,0
524,1
525,2
526,3
527,0
528,1
529,1
530,1
531,2
532,0
533,4
534,4
535,4
536,2
537,0
538,0
539,0
540,2
541,2
542,1
543,4
544,3
545,1
546,0
547,2
548,4
549,2
550,3
551,2
552,1
553,1
554,0
555,4
556,2
557,2
558,3
559,3
560,2
561,4
562,3
563,3
564,2
565,0
566,3
567,2
568,2
569,0
570,0
571,1
572,2
573,0
574,3
575,3
576,4
577,2
578,2
579,0
580,4
581,0
582,3
583,4
584,2
585,4
586,4
587,1
588,1
589,2
590,2
591,3
592,2
593,1
594,2
595,3
596,1
597,2
598,4
599,0
600,4
601,2
602,0
603,1
604,2
605,4
606,2
607,2
608,1
609,0
610,2
611,2
612,3
613,2
614,2
615,4
616,4
617,2
618,1
619,3
620,1
621,3
622,4
623,0
624,2
625,0
626,3
627,0
628,0
629,4
630,4
631,4
632,2
633,1
634,0
635,3
636,1
637,3
638,1
639,3
640,0
641,0
642,0
643,0
644,2
645,1
646,0
647,2
648,0
649,4
650,3
651,3
652,4
653,2
654,0
655,2
656,0
657,2
658,2
659,2
660,2
661,0
662,4
663,0
664,3
665,1
666,2
667,1
668,2
669,3
670,4
671,4
672,0
673,4
674,0
675,3
676,3
677,2
678,4
679,0
680,4
681,3
682,4
683,3
684,2
685,0
686,3
687,3
688,0
689,4
690,2
691,4
692,2
693,3
694,1
695,2
696,2
697,1
698,3
699,3
700,3
701,4
702,1
703,2
704,4
705,4
706,4
707,4
708,2
709,3
710,4
711,1
712,3
713,0
714,4
715,1
716,4
717,3
718,3
719,2
720,3
721,0
722,1
723,0
724,0
725,3
726,0
727,3
728,3
729,4
730,2
731,0
732,1
733,1
734,0
735,3
736,1
737,1
738,2
739,1
740,4
741,0
742,1
743,1
744,3
745,2
746,0
747,3
748,3
749,0
750,1
751,2
752,2
753,0
754,3
755,0
756,2
757,4
758,1
759,2
760,2
761,3
762,1
763,2
764,0
765,0
766,0
767,4
768,2
769,0
770,0
771,2
772,2
773,4
774,2
775,3
776,1
777,2
778,0
779,3
780,4
781,2
782,2
783,0
784,1
785,2
786,1
787,1
788,1
789,4
790,0
791,4
792,3
793,1
794,0
795,3
796,3
797,1
798,4
799,4
800,2
801,0
802,2
803,1
804,0
805,3
806,0
807,2
808,0
809,0
810,2
811,3
812,3
813,3
814,1
815,4
816,2
817,4
818,3
819,2
820,3
821,4
822,1
823,1
824,4
825,0
826,4
827,0
828,0
829,1
830,2
831,1
832,3
833,2
834,4
835,2
836,0
837,1
838,4
839,3
840,4
841,4
842,4
843,3
844,1
845,3
846,3
847,4
848,4
849,2
850,0
851,3
852,2
853,3
854,3
855,0
856,1
857,2
858,2
859,4
860,0
861,0
862,3
863,1
864,3
865,3
866,2
867,1
868,0
869,2
870,0
871,1
872,2
873,4
874,3
875,4
876,1
877,2
878,2
879,2
880,3
881,1
882,3
883,2
884,3
885,1
886,3
887,0
888,1
889,3
890,1
891,0
892,0
893,1
894,3
895,3
896,0
897,0
898,3
899,1
900,0
901,1
902,2
903,4
904,2
905,3
906,2
907,2
908,4
909,2
910,3
911,1
912,3
913,4
914,3
915,3
916,1
917,1
918,3
919,4
920,2
921,1
922,4
923,2
924,3
925,2
926,3
927,1
928,1
929,1
930,3
931,4
932,1
933,2
934,3
935,0
936,2
937,2
938,3
939,3
940,4
941,1
942,4
943,3
944,4
945,1
946,3
947,0
948,0
949,3
950,1
951,0
952,4
953,4
954,3
955,4
956,2
957,3
958,0
959,0
960,1
961,0
962,4
963,1
964,3
965,3
966,4
967,0
968,4
969,3
970,0
971,4
972,0
973,4
974,0
975,4
976,2
977,1
978,4
979,3
980,0
981,0
982,3
983,2
984,0
985,1
986,0
987,3
988,4
989,2
990,1
991,1
992,1
993,0
994,3
995,1
996,3
997,0
998,4
999,3
1000,1
1001,1
1002,1
1003,3
1004,1
1005,3
1006,4
1007,4
1008,2
1009,0
1010,1
1011,2
1012,1
1013,2
1014,4
1015,1
1016,0
1017,2
1018,2
1019,3
1020,4
1021,3
1022,3
1023,0
1024,3
1025,3
1026,4
1027,1
1028,3
1029,4
1030,4
1031,4
1032,2
1033,3
1034,0
1035,3
1036,1
1037,4
1038,2
1039,1
1040,2
1041,2
1042,3
1043,0
1044,4
1045,4
1046,0
1047,0
1048,3
1049,3
1050,4
1051,2
1052,2
1053,4
1054,3
1055,2
1056,1
1057,0
1058,3
1059,3
1060,2
1061,2
1062,4
1063,4
1064,3
1065,4
1066,1
1067,3
1068,0
1069,1
1070,1
1071,0
1072,2
1073,4
1074,0
1075,1
1076,1
1077,0
1078,0
1079,3
1080,1
1081,3
1082,4
1083,3
1084,0
1085,3
1086,1
1087,0
1088,0
1089,0
1090,4
1091,2
1092,2
1093,0
1094,4
1095,0
1096,4
1097,0
1098,2
1099,3
1100,2
1101,3
1102,1
1103,3
1104,0
1105,3
1106,2
1107,4
1108,1
1109,2
1110,1
1111,0
1112,4
1113,4
1114,0
1115,2
1116,3
1117,4
1118,3
1119,0
1120,0
1121,3
1122,0
1123,4
1124,2
1125,0
1126,0
1127,0
1128,1
1129,1
1130,4
1131,4
1132,3
1133,4
1134,2
1135,2
1136,0
1137,2
1138,0
1139,2
1140,4
1141,3
1142,0
1143,1
1144,4
1145,2
1146,2
1147,0
1148,1
1149,2
1150,1
1151,3
1152,4
1153,2
1154,0
1155,3
1156,1
1157,3
1158,4
1159,3
1160,0
1161,2
1162,4
1163,0
1164,1
1165,2
1166,2
1167,4
1168,0
1169,0
1170,1
1171,1
1172,2
1173,2
1174,0
1175,2
1176,4
1177,1
1178,0
1179,1
1180,2
1181,2
1182,0
1183,4
1184,4
1185,4
1186,4
1187,2
1188,1
1189,3
1190,0
1191,3
1192,2
1193,1
1194,2
1195,2
1196,3
1197,1
1198,4
1199,1
1200,1
1201,0
1202,0
1203,0
1204,1
1205,1
1206,2
1207,2
1208,4
1209,3
1210,1
1211,3
1212,0
1213,4
1214,0
1215,4
1216,4
1217,4
1218,0
1219,2
1220,3
1221,3
1222,0
1223,4
1224,0
1225,2
1226,1
1227,4
1228,4
1229,1
1230,4
1231,4
1232,4
1233,2
1234,1
1235,1
1236,2
1237,1
1238,4
1239,1
1240,4
1241,4
1242,3
1243,1
1244,0
1245,1
1246,2
1247,2
1248,3
1249,2
1250,2
1251,3
1252,3
1253,3
1254,0
1255,1
1256,4
1257,2
